Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 191			3.875060																											-0.000000	0.000644																																													
 192			3.874074																											-0.000000	0.000211																																													
 193			3.873123																											-0.000001	0.000177																																													
 194			3.872251																											-0.000001	0.000098																																													
 195			3.871415																											-0.000001	0.000062																																													
 196			3.870425																											-0.000001	0.000217																																													
 197			3.869001																											-0.000002	0.000652																																													
 198			3.866418																											-0.000004	0.001813																																													
 199			3.952244																											-0.090341	0.003742																																													
 200			3.946483																											-0.000000	0.004971																																													
 201			3.941298																											-0.000000	0.004396																																													
 202			3.936193																											-0.000000	0.004317																																													
 203			3.930722																											-0.000000	0.004683																																													
 204			3.924808																											-0.000000	0.005128																																													
 205			3.918921																											-0.000000	0.005102																																													
 206			3.913297																											-0.000000	0.004840																																													
 207			3.907308																											-0.000000	0.005207																																													
 208			3.900875																											-0.000000	0.005652																																													
 209			3.894234																											-0.000000	0.005861																																													
 210			3.888275																											-0.000000	0.005181																																													
 211			3.883913																											-0.000000	0.003585																																													
 212			3.880763																											-0.000000	0.002373																																													
 213			3.878331																											-0.000000	0.001656																																													
 214			3.876481																											-0.000000	0.001075																																													
 215			3.875062																											-0.000000	0.000644																																													
 216			3.874076																											-0.000000	0.000211																																													
 217			3.873124																											-0.000001	0.000177																																													
 218			3.872252																											-0.000001	0.000098																																													
 219			3.871417																											-0.000001	0.000062																																													
 220			3.870426																											-0.000001	0.000217																																													
 221			3.869003																											-0.000002	0.000652																																													
 222			3.866419																											-0.000004	0.001813																																													
 223			3.952246																											-0.090341	0.003742																																													
 224			3.946484																											-0.000000	0.004971																																													
 225			3.941299																											-0.000000	0.004396																																													
 226			3.936194																											-0.000000	0.004317																																													
 227			3.930724																											-0.000000	0.004683																																													
 228			3.924809																											-0.000000	0.005128																																													
 229			3.918923																											-0.000000	0.005102																																													
 230			3.913299																											-0.000000	0.004840																																													
 231			3.907309																											-0.000000	0.005207																																													
 232			3.900877																											-0.000000	0.005652																																													
 233			3.894236																											-0.000000	0.005861																																													
 234			3.888277																											-0.000000	0.005181																																													
 235			3.883915																											-0.000000	0.003585																																													
 236			3.880765																											-0.000000	0.002373																																													
