{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
2436;0.000130538;1.14E-04;1.96E-04;0.000114155;0.491024381;0.074961044;0;0.220091003;0.112656715;0.662099673
2437;0.000130043;1.14E-04;1.95E-04;0.000114155;0.809345673;0.092259747;0;0.191648472;0.745326849;0.589261379
2438;1.31E-04;1.14E-04;1.85E-04;0.000114155;0.686109437;0.131181828;0;0.232280658;0.304458754;0.641828439
2439;1.33E-04;1.14E-04;1.99E-04;0.000114155;0.169838657;0.184519494;0;0.248194931;0.009791597;0.668161308
2440;1.29E-04;0.000114155;2.16E-04;0.000114155;0.164093378;0.209025989;0;0.254966961;0.008150089;0.625687574
2441;1.26E-04;1.14E-04;2.24E-04;0.000114155;0.009028296;0.15857144;0;0.474042158;0;0.690955873
2442;1.24E-04;1.14E-04;1.98E-04;0.000114155;0.043680536;0.061987017;0;0.76185347;0.025623945;0.712777759
2443;1.38E-04;1.14E-04;1.37E-04;0.000114155;0;0.014415585;0;0.897294085;0;0.752812742
2444;1.45E-04;1.14E-04;9.07E-05;0.000114155;0;0.001441559;0;0.867158549;0;0.759663799
2445;1.35E-04;1.14E-04;6.33E-05;0.000114155;0;0;0;0.86749715;0;0.781513876
2446;1.34E-04;1.14E-04;4.11E-05;0.000114155;0;0.002883117;0;0.867158549;0;0.664735779
2447;1.24E-04;1.14E-04;2.46E-05;0.000114155;0;0.005766234;0;0.337247135;0;0.605655985
2448;1.14E-04;1.14E-04;8.08E-06;0.000114155;0;0.008649351;0;0.217720791;0;0.588218214
2449;9.55E-05;1.14E-04;6.77E-06;0.000114155;0;0.007207793;0;0.249887938;0;0.69452237
2450;9.22E-05;0.000114155;3.75E-06;0.000114155;0;0.005766234;0;0.248872134;0;0.691745296
2451;9.05E-05;0.000114155;2.38E-06;0.000114155;0;0.002883117;0;0.249210734;0;0.677634374
2452;9.01E-05;0.000114155;8.30E-06;0.000114155;0;0.002883117;0;0.249210734;0;0.674504878
2453;9.07E-05;0.000114155;2.49E-05;0.000114155;0;0.002883117;0;0.260384585;0;0.676788565
2454;9.55E-05;0.000114155;6.93E-05;0.000114155;0;0.005766234;0;0.256321367;0;0.679946253
2455;9.75E-05;0.000114155;1.43E-04;0.000114155;0.040372897;0.002883117;0;0.260045985;0.02313706;0.687657216
2456;1.07E-04;0.000114155;1.90E-04;0.000114155;0.239455025;0.004324676;0;0.255305563;0.200058826;0.653190481
2457;1.15E-04;1.14E-04;1.68E-04;0.000114155;0.442977433;0.027389612;0;0.253612554;0.392090675;0.645000224
2458;1.18E-04;1.14E-04;1.65E-04;0.000114155;0.614670995;0.060545459;0;0.253951157;0.557218204;0.647833686
2459;1.22E-04;1.14E-04;1.79E-04;0.000114155;0.738966004;0.096584423;0;0.334876925;0.676588688;0.649299755
2460;1.21E-04;1.14E-04;1.96E-04;0.000114155;0.803567564;0.123974035;0;0.372123095;0.73954874;0.651231021
2461;1.20E-04;1.14E-04;1.95E-04;0.000114155;0.804388318;0.157129881;0;0.374154704;0.740369494;0.667949856
2462;1.23E-04;1.14E-04;1.85E-04;0.000114155;0.740607513;0.197493521;0;0.363996657;0.678230197;0.66393226
2463;1.26E-04;1.14E-04;1.99E-04;0.000114155;0.617945804;0.236415601;0;0.356208822;0.560493013;0.670106669
2464;1.27E-04;1.14E-04;2.16E-04;0.000114155;0.447064789;0.265246772;0;0.574268215;0.396178031;0.675350688
2465;1.24E-04;1.14E-04;2.24E-04;0.000114155;0.243550588;0.242181836;0;0.580701644;0.203333635;0.674222943
2466;1.23E-04;1.14E-04;1.98E-04;0.000114155;0.042835159;0.135506503;0;0.7686255;0.024778568;0.659999245
2467;1.43E-04;1.14E-04;1.37E-04;0.000114155;0;0.07928572;0;0.888829047;0;0.769150962
2468;1.41E-04;1.14E-04;9.07E-05;0.000114155;0;0.053337666;0;0.886797438;0;0.844019198
2469;1.38E-04;1.14E-04;6.33E-05;0.000114155;0;0.028831171;0;0.884427226;0;0.742310607
2470;1.28E-04;0.000114155;4.11E-05;0.000114155;0;0.018740261;0;0.891876461;0;0.71978388
2471;1.16E-04;0.000114155;2.46E-05;0.000114155;0;0.02018182;0;0.374154704;0;0.704178695
2472;1.06E-04;0.000114155;8.08E-06;0.000114155;0;0.023064937;0;0.249549336;0;0.696326763
2473;9.94E-05;0.000114155;6.77E-06;0.000114155;0;0.028831171;0;0.253273953;0;0.681595582
2474;9.56E-05;0.000114155;3.75E-06;0.000114155;0;0.031714288;0;0.25259675;0;0.680143609
2475;9.37E-05;0.000114155;2.38E-06;0.000114155;0;0.046129873;0;0.254628358;0;0.60808064
2476;9.23E-05;0.000114155;8.30E-06;0.000114155;0;0.06919481;0;0.255644164;0;0.609166095
2477;9.39E-05;0.000114155;2.49E-05;0.000114155;0;0.08937663;0;0.254966961;0;0.611506168
2478;9.87E-05;0.000114155;6.93E-05;0.000114155;0;0.090818188;0;0.261400391;0;0.653148189
2479;1.02E-04;0.000114155;1.43E-04;0.000114155;0.019673477;0.060545459;0;0.258352976;0.000796132;0.700048325
2480;0.000111168;0.000114155;1.90E-04;0.000114155;0.248360208;0.076402603;0;0.254966961;0.208143254;0.68857351
2481;0.000120583;0.000114155;1.68E-04;0.000114155;0.456782518;0.07928572;0;0.292213131;0.405075006;0.69629857
2482;0.00012464;1.14E-04;1.65E-04;0.000114155;0.631750889;0.082168837;0;0.301693973;0.573477344;0.699047451
2483;0.000128087;1.14E-04;1.79E-04;0.000114155;0.756045898;0.096584423;0;0.302371177;0.693668582;0.70011881
2484;0.000128081;1.14E-04;1.96E-04;0.000114155;0.819834911;0.113883125;0;0.302371177;0.754995333;0.693169075
2485;0.000126578;1.14E-04;1.95E-04;0.000114155;0.81820161;0.128298711;0;0.303725583;0.753362032;0.69363427
2486;0.000131762;0.000114155;1.85E-04;0.000114155;0.752779297;0.135506503;0;0.299323763;0.690401981;0.689574385
2487;0.00013363;0.000114155;1.99E-04;0.000114155;0.491122872;0.184519494;0;0.29187453;0.216990984;0.689320642
2488;0.000130737;0.000114155;2.16E-04;0.000114155;0.018877346;0.273896124;0;0.292551732;0;0.695762891
2489;0.000128717;0.000114155;2.24E-04;0.000114155;0.132732362;0.268129889;0;0.509256719;0.024392814;0.704798955
2490;0.000128973;1.14E-04;1.98E-04;0.000114155;0.022111117;0.136948062;0;0.750679618;0.001592263;0.705912604
2491;0.00014568;1.14E-04;1.37E-04;0.000114155;0;0.086493513;0;0.892553664;0;0.794116438
2492;0.000144767;1.14E-04;9.07E-05;0.000114155;0;0.066311693;0;0.890183453;0;0.874834857
2493;0.000140332;1.14E-04;6.33E-05;0.000114155;0;0.067753252;0;0.885781633;0;0.76662763
2494;0.000131241;1.14E-04;4.11E-05;0.000114155;0;0.077844161;0;0.884765829;0;0.721221756
2495;0.000119951;0.000114155;2.46E-05;0.000114155;0;0.082168837;0;0.369414282;0;0.708450033
2496;1.09E-04;0.000114155;8.08E-06;0.000114155;0;0.103792215;0;0.251919547;0;0.706011283
2497;1.02E-04;0.000114155;6.77E-06;0.000114155;0;0.103792215;0;0.243454508;0;0.698173448
2498;9.81E-05;0.000114155;3.75E-06;0.000114155;0;0.085051954;0;0.249887938;0;0.692450137
2499;9.56E-05;0.000114155;2.38E-06;0.000114155;0;0.072077927;0;0.24582472;0;0.699569034
2500;9.50E-05;0.000114155;8.30E-06;0.000114155;0;0.051896108;0;0.244808914;0;0.69772235
2501;9.56E-05;0.000114155;2.49E-05;0.000114155;0;0.030272729;0;0.259707382;0;0.69150565
2502;1.00E-04;0.000114155;6.93E-05;0.000114155;0;0.018740261;0;0.255982767;0;0.700922329
2503;1.02E-04;0.000114155;1.43E-04;0.000114155;0.018056591;0.027389612;0;0.255644164;0;0.707491449
2504;0.000111196;0.000114155;1.90E-04;0.000114155;0.164405265;0.040363639;0;0.25259675;0.058527979;0.70069678
2505;0.00012093;0.000114155;1.68E-04;0.000114155;0.446933468;0.046129873;0;0.287472709;0.39604671;0.708591001
2506;0.000124751;0.000114155;1.65E-04;0.000114155;0.618635237;0.028831171;0;0.302709779;0.560361692;0.712340757
2507;0.000127841;1.14E-04;1.79E-04;0.000114155;0.741288739;0.023064937;0;0.287472709;0.678911423;0.712129305
2508;0.000127861;1.14E-04;1.96E-04;0.000114155;0.804256997;0.054779225;0;0.296953553;0.740238173;0.709295843
2509;0.000126846;1.14E-04;1.95E-04;0.000114155;0.803444451;0.082168837;0;0.294583341;0.739425627;0.709140777
2510;0.000131168;1.14E-04;1.85E-04;0.000114155;0.73720959;0.090818188;0;0.293228935;0.674832275;0.702613948
2511;0.000133374;1.14E-04;1.99E-04;0.000114155;0.612922789;0.073519486;0;0.290520122;0.555469998;0.727649908
2512;0.000132374;1.14E-04;2.16E-04;0.000114155;0.44041668;0.044688315;0;0.509595321;0.389529922;0.72542261
2513;0.000129094;1.14E-04;2.24E-04;0.000114155;0.236106348;0.033155847;0;0.509595321;0.196710149;0.722772408
2514;0.00012582;1.14E-04;1.98E-04;0.000114155;0.037935257;0.024506495;0;0.748648009;0.02069942;0.71294692
2515;0.000146398;1.14E-04;1.37E-04;0.000114155;0;0.01009091;0;0.887136039;0;0.81497974
2516;0.00014619;1.14E-04;9.07E-05;0.000114155;0;0.005766234;0;0.883750024;0;0.885449767
2517;0.00014203;0.000114155;6.33E-05;0.000114155;0;0.004324676;0;0.874946384;0;0.78660283
2518;0.000134095;0.000114155;4.11E-05;0.000114155;0;0.004324676;0;0.874607782;0;0.722927473
2519;0.00012182;0.000114155;2.46E-05;0.000114155;0;0.01009091;0;0.363319454;0;0.722363599
2520;0.000110995;0.000114155;8.08E-06;0.000114155;0;0.025948054;0;0.240407094;0;0.681102193
2521;1.04E-04;0.000114155;6.77E-06;0.000114155;0;0.057662342;0;0.240745696;0;0.656475039
2522;9.94E-05;0.000114155;3.75E-06;0.000114155;0;0.066311693;0;0.239729892;0;0.676647596
2523;9.75E-05;0.000114155;2.38E-06;0.000114155;0;0.040363639;0;0.236343876;0;0.664186003
2524;9.60E-05;0.000114155;8.30E-06;0.000114155;0;0.012974027;0;0.23939129;0;0.670134863
2525;9.69E-05;0.000114155;2.49E-05;0.000114155;0;0.008649351;0;0.25022654;0;0.673123389
2526;1.02E-04;0.000114155;6.93E-05;0.000114155;0;0.007207793;0;0.255305563;0;0.680566514
2527;1.04E-04;0.000114155;1.43E-04;0.000114155;0.038690351;0.001441559;0;0.259030179;0.021454514;0.674800912
2528;0.000113717;0.000114155;1.90E-04;0.000114155;0.236869649;0.001441559;0;0.288488513;0.19747345;0.684837852
2529;0.000123442;0.000114155;1.68E-04;0.000114155;0.440359227;0.011532468;0;0.300678169;0.38947247;0.691463359
2530;0.00012628;0.000114155;1.65E-04;0.000114155;0.612044582;0.027389612;0;0.301016771;0.554591791;0.68386517
2531;0.000127275;0.000114155;1.79E-04;0.000114155;0.733885536;0.046129873;0;0.303725583;0.67150822;0.700189294
2532;0.000127766;0.000114155;1.96E-04;0.000114155;0.797666341;0.067753252;0;0.289504318;0.733647517;0.696383151
2533;0.0001266;0.000114155;1.95E-04;0.000114155;0.796853795;0.103792215;0;0.292551732;0.732834971;0.698539965
2534;0.000130889;1.14E-04;1.85E-04;0.000114155;0.731431481;0.139831179;0;0.293228935;0.669874919;0.698539965
2535;0.000131314;1.14E-04;1.99E-04;0.000114155;0.607965433;0.162896116;0;0.294583341;0.550512643;0.6939444
2536;0.000130961;1.14E-04;2.16E-04;0.000114155;0.435459325;0.155688323;0;0.291197327;0.385393321;0.697045702
2537;0.000126136;1.14E-04;2.24E-04;0.000114155;0.232798709;0.116766242;0;0.505532102;0.193402509;0.692140007
2538;0.000124749;0.000114155;1.98E-04;0.000114155;0.036269126;0.0591039;0;0.747293603;0.019854043;0.673137487
2539;0.000144044;0.000114155;1.37E-04;0.000114155;0;0.021623378;0;0.883411422;0;0.880078876
2540;0.000142745;0.000114155;9.07E-05;0.000114155;0;0.005766234;0;0.88307282;0;0.823931223
2541;0.000138569;0.000114155;6.33E-05;0.000114155;0;0.005766234;0;0.884088626;0;0.77315446
2542;0.000130322;0.000114155;4.11E-05;0.000114155;0;0.005766234;0;0.881379814;0;0.727678102
2543;0.000119865;0.000114155;2.46E-05;0.000114155;0;0.007207793;0;0.354854416;0;0.715103735
2544;0.000109918;0.000114155;8.08E-06;0.000114155;0;0.007207793;0;0.241422899;0;0.706941673
2545;1.02E-04;0.000114155;6.77E-06;0.000114155;0;0.005766234;0;0.237359681;0;0.658702338
2546;9.85E-05;0.000114155;3.75E-06;0.000114155;0;0.004324676;0;0.237021079;0;0.648157913
2547;9.60E-05;0.000114155;2.38E-06;0.000114155;0;0.004324676;0;0.238714088;0;0.613944919
2548;9.47E-05;0.000114155;8.30E-06;0.000114155;0;0.007207793;0;0.238714088;0;0.616087636
2549;9.46E-05;0.000114155;2.49E-05;0.000114155;0;0.01009091;0;0.252935353;0;0.614692051
2550;9.82E-05;0.000114155;6.93E-05;0.000114155;0;0.012974027;0;0.25259675;0;0.624672604
2551;9.53E-05;0.000114155;1.43E-04;0.000114155;0.030014979;0.011532468;0;0.25056514;0.01031688;0.618723743
2552;1.03E-04;0.000114155;1.90E-04;0.000114155;0.185359119;0.002883117;0;0.25022654;0.092613899;0.657250365
2553;0.000112203;0.000114155;1.68E-04;0.000114155;0.324099401;0.01009091;0;0.253951157;0.123835387;0.675195623
2554;0.000117521;0.000114155;1.65E-04;0.000114155;0.521277379;0.034597405;0;0.285102498;0.23893795;0.675012365
2555;0.000119658;1.14E-04;1.79E-04;0.000114155;0.624914007;0.074961044;0;0.284763896;0.220282208;0.674194749
2556;0.000119077;1.14E-04;1.96E-04;0.000114155;0.690681037;0.123974035;0;0.301693973;0.208077594;0.673292552
2557;0.000113656;1.14E-04;1.95E-04;0.000114155;0.795975588;0.165779233;0;0.298307959;0.731956764;0.636979131
2558;0.000111052;1.14E-04;1.85E-04;0.000114155;0.729740728;0.184519494;0;0.299323763;0.668184166;0.605345855
2559;0.000112889;1.14E-04;1.99E-04;0.000114155;0.60627468;0.188844169;0;0.286456904;0.548821889;0.707181319
2560;0.000113319;1.14E-04;2.16E-04;0.000114155;0.433768571;0.175870142;0;0.284425294;0.383702568;0.699794583
2561;0.000112174;1.14E-04;2.24E-04;0.000114155;0.230303616;0.121090918;0;0.505193501;0.190907417;0.685105692
2562;0.000113745;1.14E-04;1.98E-04;0.000114155;0.034635825;0.054779225;0;0.740182971;0.018220742;0.653119995
2563;0.000135462;1.14E-04;1.37E-04;0.000114155;0;0.018740261;0;0.885781633;0;0.77168839
2564;0.000135616;1.14E-04;9.07E-05;0.000114155;0;0.01009091;0;0.882057017;0;0.816093388
2565;0.000131627;1.14E-04;6.33E-05;0.000114155;0;0.014415585;0;0.875623588;0;0.787772867
2566;0.000124245;0.000114155;4.11E-05;0.000114155;0;0.024506495;0;0.877316595;0;0.71263679
2567;0.000114487;0.000114155;2.46E-05;0.000114155;0;0.027389612;0;0.372461695;0;0.678804411
2568;1.05E-04;0.000114155;8.08E-06;0.000114155;0;0.025948054;0;0.242438704;0;0.678480183
2569;9.83E-05;0.000114155;6.77E-06;0.000114155;0;0.028831171;0;0.244131712;0;0.644112124
2570;9.41E-05;0.000114155;3.75E-06;0.000114155;0;0.030272729;0;0.241422899;0;0.652823962
2571;9.21E-05;0.000114155;2.38E-06;0.000114155;0;0.031714288;0;0.240068493;0;0.649694467
2572;8.99E-05;0.000114155;8.30E-06;0.000114155;0;0.031714288;0;0.25056514;0;0.640855757
2573;8.95E-05;0.000114155;2.49E-05;0.000114155;0;0.036038964;0;0.25022654;0;0.635809095
2574;9.08E-05;0.000114155;6.93E-05;0.000114155;0;0.041805198;0;0.250903743;0;0.644591416
2575;8.56E-05;0.000114155;1.43E-04;0.000114155;0.037048843;0.034597405;0;0.248533532;0.019813005;0.592616424
