Time	PHS	BATT_LI	BEV_BATT	PHEV_BATT	TS_DEC_DIRECT_ELEC	TS_DEC_HP_ELEC	TS_DEC_THHP_GAS	TS_DEC_COGEN_GAS	TS_DEC_COGEN_OIL	TS_DEC_ADVCOGEN_GAS	TS_DEC_ADVCOGEN_H2	TS_DEC_BOILER_GAS	TS_DEC_BOILER_WOOD	TS_DEC_BOILER_OIL	TS_DHN_DAILY	TS_DHN_SEASONAL	TS_HIGH_TEMP	GAS_STORAGE	H2_STORAGE	DIESEL_STORAGE	GASOLINE_STORAGE	LFO_STORAGE	AMMONIA_STORAGE	METHANOL_STORAGE	CO2_STORAGE	PHS_in	PHS_out	BATT_LI_in	BATT_LI_out	BEV_BATT_in	BEV_BATT_out	PHEV_BATT_in	PHEV_BATT_out	TS_DEC_DIRECT_ELEC_in	TS_DEC_DIRECT_ELEC_out	TS_DEC_HP_ELEC_in	TS_DEC_HP_ELEC_out	TS_DEC_THHP_GAS_in	TS_DEC_THHP_GAS_out	TS_DEC_COGEN_GAS_in	TS_DEC_COGEN_GAS_out	TS_DEC_COGEN_OIL_in	TS_DEC_COGEN_OIL_out	TS_DEC_ADVCOGEN_GAS_in	TS_DEC_ADVCOGEN_GAS_out	TS_DEC_ADVCOGEN_H2_in	TS_DEC_ADVCOGEN_H2_out	TS_DEC_BOILER_GAS_in	TS_DEC_BOILER_GAS_out	TS_DEC_BOILER_WOOD_in	TS_DEC_BOILER_WOOD_out	TS_DEC_BOILER_OIL_in	TS_DEC_BOILER_OIL_out	TS_DHN_DAILY_in	TS_DHN_DAILY_out	TS_DHN_SEASONAL_in	TS_DHN_SEASONAL_out	TS_HIGH_TEMP_in	TS_HIGH_TEMP_out	GAS_STORAGE_in	GAS_STORAGE_out	H2_STORAGE_in	H2_STORAGE_out	DIESEL_STORAGE_in	DIESEL_STORAGE_out	GASOLINE_STORAGE_in	GASOLINE_STORAGE_out	LFO_STORAGE_in	LFO_STORAGE_out	AMMONIA_STORAGE_in	AMMONIA_STORAGE_out	METHANOL_STORAGE_in	METHANOL_STORAGE_out	CO2_STORAGE_in	CO2_STORAGE_out	
 185			95.256500																											-0.000181	0.164550																																													
 186			95.143957																											-0.000180	0.093671																																													
 187			95.091746																											-0.000165	0.033347																																													
 188			95.043297																											-0.000157	0.029588																																													
 189			94.996734																											-0.000147	0.027700																																													
 190			94.951873																											-0.000139	0.026001																																													
 191			94.908628																											-0.000133	0.024388																																													
 192			94.868203																											-0.000115	0.021557																																													
 193			94.257124																											-0.000119	0.592225																																													
 194			93.680903																											-0.000129	0.557498																																													
 195			93.129090																											-0.000136	0.533214																																													
 196			92.564691																											-0.000150	0.545923																																													
 197			91.925143																											-0.000124	0.621159																																													
 198			91.072593																											-0.000126	0.834291																																													
 199			89.821459																											-0.000172	1.233091																																													
 200			88.745547																											-0.000193	1.058141																																													
 201			88.506674																											-0.000173	0.221297																																													
 202			88.373091																											-0.000165	0.116046																																													
 203			88.271049																											-0.000158	0.084526																																													
 204			88.183218																											-0.000153	0.070329																																													
 205			88.105237																											-0.000148	0.060493																																													
 206			88.034386																											-0.000146	0.053377																																													
 207			87.966122																											-0.000156	0.050813																																													
 208			87.883713																											-0.000169	0.064984																																													
 209			87.701767																											-0.000181	0.164550																																													
 210			87.590736																											-0.000180	0.093671																																													
 211			87.540035																											-0.000165	0.033347																																													
 212			87.493096																											-0.000157	0.029588																																													
 213			87.448044																											-0.000147	0.027700																																													
 214			87.404692																											-0.000139	0.026001																																													
 215			87.362956																											-0.000133	0.024388																																													
 216			87.324041																											-0.000115	0.021557																																													
 217			87.523808																											-0.217378	0.000147																																													
 218			87.763079																											-0.256857	0.000081																																													
 219			88.016746																											-0.271272	0.000052																																													
 220			88.246461																											-0.247498	0.000180																																													
 221			88.376747																											-0.148474	0.000538																																													
 222			88.357540																											-0.000009	0.001540																																													
 223			88.333128																											-0.000000	0.006741																																													
 224			88.063480																											-0.000002	0.251984																																													
 225			87.951118																											-0.000000	0.094749																																													
 226			87.929970																											-0.000009	0.003566																																													
 227			87.908931																											-0.000414	0.003867																																													
 228			87.887511																											-0.000399	0.004237																																													
 229			87.865727																											-0.000007	0.004214																																													
 230			87.721408																											-0.000001	0.126747																																													
