{PERIODS};Electricity (%_elec);Space Heating (%_sh);Passanger mobility (%_pass);Freight mobility (%_freight);PV;Wind_onshore;Wind_offshore;Hydro_river;Solar;Hydro_dam
104;8.69E-05;0.000114155;1.90E-04;0.000114155;0.16446;0.37;0;0.859361056;0.017958009;0.739344087
105;9.27E-05;0.000114155;1.68E-04;0.000114155;4.18E-01;0.378;0;0.859361056;0.138113254;0.739344087
106;9.61E-05;0.000114155;1.65E-04;0.000114155;0.4776;0.392;0;0.859361056;0.099275285;0.739344087
107;9.80E-05;0.000114155;1.79E-04;0.000114155;0.25072;0.435;0;0.859361056;0.0193879;0.739344087
108;9.88E-05;0.000114155;1.96E-04;0.000114155;0.31795;0.468;0;0.859361056;0.021776973;0.739344087
109;9.77E-05;0.000114155;1.95E-04;0.000114155;0.72354;0.502;0;0.859361056;0.310375147;0.739344087
110;9.78E-05;0.000114155;1.85E-04;0.000114155;0.12531;0.551;0;0.859361056;0.017505062;0.739344087
111;9.86E-05;0.000114155;1.99E-04;0.000114155;0.13524;0.605;0;0.859361056;0.010320082;0.739344087
112;9.90E-05;0.000114155;2.16E-04;0.000114155;0.33391;0.66;0;0.859361056;0.06826175;0.739344087
113;9.85E-05;0.000114155;2.24E-04;0.000114155;0.19577;0.687;0;0.859361056;0.070331095;0.739344087
114;1.03E-04;0.000114155;1.98E-04;0.000114155;0.06145;0.656;0;0.859361056;0;0.739344087
115;0.000124214;0.000114155;1.37E-04;0.000114155;0.00324;0.642;0;0.859361056;0;0.739344087
116;0.000123877;0.000114155;9.07E-05;0.000114155;0;0.628;0;0.859361056;0;0.739344087
117;0.000119669;0.000114155;6.33E-05;0.000114155;0;0.585;0;0.859361056;0;0.739344087
118;0.000113133;0.000114155;4.11E-05;0.000114155;0;0.568;0;0.859361056;0;0.739344087
119;1.03E-04;0.000114155;2.46E-05;0.000114155;0;0.585;0;0.859361056;0;0.739344087
120;9.58E-05;0.000114155;8.08E-06;0.000114155;0;0.606;0;0.859361056;0;0.739344087
